Título;Ano;Títular;Linguagem;Autores;Campo de Aplicação;Tipo Programa
TREINAMENTO DA ATENÇÃO E CONTROLE INIBITÓRIO;2016;UFPI;SCRATCH;FERNANDO LOPES E SILVA JÚNIOR, FRANCISCO ELEZIER XAVIER MAGALHÃES, FRANCISCO VICTOR COSTA MARINHO, GILDÁRIO DIAS LIMA, IRIS JORDÂNIA LUZ MOURA, JESSICA ALVES RIBEIRO, KALINE DE MELO ROCHA, MARCOS AURÉLIO AYRES DA SILVA, SILMAR SILVA TEIXEIRA, VICTOR HUGO DO VALE BASTOS;SD-01, SD-04, SD-09;FA-01, SO-02, SO-04
TREINAMENTO DA ATENÇÃO E CONTROLE INIBITÓRIO;2016;UFPI;JAVA BLOCK;FERNANDO LOPES E SILVA JÚNIOR, FRANCISCO ELEZIER XAVIER MAGALHÃES, FRANCISCO VICTOR COSTA MARINHO, GILDÁRIO DIAS LIMA, IRIS JORDÂNIA LUZ MOURA, JESSICA ALVES RIBEIRO, KALINE DE MELO ROCHA, MARCOS AURÉLIO AYRES DA SILVA, SILMAR SILVA TEIXEIRA, VICTOR HUGO DO VALE BASTOS;SD-01, SD-04, SD-09;FA-01, SO-02, SO-04
APLICATIVO PARA OPERAÇÕES MATEMÁTICAS;2016;UFPI;SCRATCH;FRANCISCO ELEZIER XAVIER MAGALHÃES, FRANCISCO VICTOR COSTA MARINHO, GILDÁRIO DIAS LIMA, IRIS JORDÂNIA LUZ MOURA, JESSICA ALVES RIBEIRO, KALINE DE MELO ROCHA, MARCOS AURÉLIO AYRES DA SILVA, SILMAR SILVA TEIXEIRA, VICTOR HUGO DO VALE BASTOS;ED-06, MT-02, SD-04;FA-01, SO-02, SO-04
APLICATIVO PARA OPERAÇÕES MATEMÁTICAS;2016;UFPI;JAVA BLOCK;FRANCISCO ELEZIER XAVIER MAGALHÃES, FRANCISCO VICTOR COSTA MARINHO, GILDÁRIO DIAS LIMA, IRIS JORDÂNIA LUZ MOURA, JESSICA ALVES RIBEIRO, KALINE DE MELO ROCHA, MARCOS AURÉLIO AYRES DA SILVA, SILMAR SILVA TEIXEIRA, VICTOR HUGO DO VALE BASTOS;ED-06, MT-02, SD-04;FA-01, SO-02, SO-04
EPLEARNING;2016;UFPI;JAVASCRIPT;ADALBERTO SOCORRO DA SILVA, JOANA DARC CARVALHO DE SOUSA, KEYLLA MARIA DE SÁ URTIGA AITA, LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;BL-01, ED-06, SD-01, SD-08, SD-09;FA-01, IA-02, TC-01
EPLEARNING;2016;UFPI;PHP;ADALBERTO SOCORRO DA SILVA, JOANA DARC CARVALHO DE SOUSA, KEYLLA MARIA DE SÁ URTIGA AITA, LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;BL-01, ED-06, SD-01, SD-08, SD-09;FA-01, IA-02, TC-01
VPROTENDIM;2016;UFPI;JAVA;CALEBE PAIVA GOMES DE SOUZA, EMANUEL FREIRE DE ALMEIDA MUNIZ;CC-05, CC-06;AP-01
EPASSITANT;2016;UFPI;PYTHON;ADALBERTO SOCORRO DA SILVA, KEYLLA MARIA DE SÁ URTIGA AITA, LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;SD-08, SD-09;IA-02
THMONITOR;2015;IFPI;HTML;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-02, SD-09, SD-10;AT-01, FA-01, GI-01, GI-04, IT-03
THMONITOR;2015;IFPI;JAVASCRIPT;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-02, SD-09, SD-10;AT-01, FA-01, GI-01, GI-04, IT-03
THMONITOR;2015;IFPI;PHP;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-02, SD-09, SD-10;AT-01, FA-01, GI-01, GI-04, IT-03
STRABIMUS;2015;IFPI;JAVASCRIPT;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-03;AT-01, FA-01, GI-01, GI-04, IT-03
STRABIMUS;2015;IFPI;XML;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-03;AT-01, FA-01, GI-01, GI-04, IT-03
